adult,belongs_to_collection,budget,genres,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3595,tt0117438,en,Ransom,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",8.772188,/96pdw2qcx4g25vZLywNi4XRQVqm.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Brian Grazer/Scott Rudin Productions', 'id': 90663}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",08-11-1996,309492681,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Someone is going to pay.,Ransom,FALSE,6.4,482
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}]",9308,tt0116531,en,High School High,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",4.220058,/8KlvHpAoNoYx3xawMQRnzy16uk.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",25-10-1996,21302121,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Dangerous Mind is a terrible thing to waste,High School High,FALSE,5.4,51
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}]",92381,tt0117332,en,Phat Beach,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.,0.879852,/nZgg0BfFqmOzR1DokyYU9iCMjee.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Live Entertainment', 'id': 285}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",02-08-1996,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ain't nothin' but a g-string.,Phat Beach,FALSE,5.4,8
FALSE,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18555,tt0116353,en,Foxfire,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of control.,3.186891,/3LR8l22YXY8DuBKnF79HO59V5iX.jpg,"[{'name': 'Rysher Entertainment', 'id': 11661}, {'name': 'Red Mullet Productions', 'id': 24827}, {'name': 'Chestnut Hill Productions', 'id': 26192}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23-08-1996,258263,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It took them 17 years to learn the rules. And one week to break them all.,Foxfire,FALSE,6.3,30
FALSE,,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",12123,tt0115857,en,Chain Reaction,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,15.874491,/t6anpB9iny456N7sVLd3S0QARGv.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Chicago Pacific Entertainment', 'id': 2377}, {'name': 'Zanuck Company, The', 'id': 20004}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",02-08-1996,60209334,107,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Reaction Time 8-4-96,Chain Reaction,FALSE,5.3,291
FALSE,,36000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",10830,tt0117008,en,Matilda,"A grouchy couple are parents to a very sweet girl, Matilda. Unlike her bratty brother and mean parents, Matilda becomes a very sweet and extremely intelligent 6 year old girl, who is very keen to go to school and read books. After a while, her parents send her to school with the worst principal in the world, a very sweet teacher, and good friends. While trying to put up with her parents' and principal's cruelty, she starts to unwittingly unleash telekinetic powers, destroying a television and making a newt fly onto the principal. With enough practice, Matilda starts to learn to control her telekinetic powers and soon using them on her principal so she can drive her away from the school.",10.034915,/vddUwPL3L8MBH4FrEDCAZM9T6sj.jpg,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",02-08-1996,33459416,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A little magic goes a long way.,Matilda,FALSE,6.9,892
FALSE,,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3573,tt0116191,en,Emma,"Emma Woodhouse is a congenial young lady who delights in meddling in other peopleâ€™s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.",6.593011,/rZhCekNwWmkiLVpsYhSWfl9TkME.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Haft Entertainment', 'id': 1363}, {'name': 'Matchmaker Films', 'id': 1443}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",02-08-1996,22231658,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Cupid is armed and dangerous!,Emma,FALSE,6.7,152
FALSE,"{'id': 9436, 'name': 'The Crow Collection', 'poster_path': '/kfU8OZptlBfR5DL9LNGL301Zmlz.jpg', 'backdrop_path': '/6sGKUZfV4g5d2LT4CsG89o0416W.jpg'}",13000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",10546,tt0115986,en,The Crow: City of Angels,"After Ashe and his little son are murdered violently for no reason by Judah's men, he returns from the dead to take revenge. One after one, Judah's people face the power of the dark angel. The second film based on James O'Barr's cult comic.",6.554679,/kxe6WvICLt8Z5nB76nuPh9OO4DG.jpg,"[{'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",29-08-1996,17917287,84,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Believe in the power of another,The Crow: City of Angels,FALSE,5.2,119
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",18862,tt0116571,en,House Arrest,"High-schooler Grover Beindorf and his younger sister Stacy decide that their parents, Janet and Ned, are acting childishly when they decide to divorce after 18 years of marriage, so they lock them up in the basement until they'll sort out their problems. Their school friends also decide to do the same with their parents to solve their respective problems",12.297782,/mhvhcOqAlRnB5taKdhDznNay9zF.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Rysher Entertainment', 'id': 11661}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",14-08-1996,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's More Than One Way To Keep A Marriage Together...,House Arrest,FALSE,5,32
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",31417,tt0053459,fr,Les Yeux sans visage,Professor Genessier is guilt-stricken after his daughter's face is disfigured in a car accident. He intends to rebuild his daughter's face via grafting skin tissue; he only needs a supply of donors to experiment on.,9.935891,/orqJcha6R8vxIzL2ggCQm0LjRBa.jpg,"[{'name': 'Lux Film', 'id': 1679}, {'name': 'Champs-Ã‰lysÃ©es Productions', 'id': 13437}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",11-01-1960,0,90,"[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Released,,Eyes Without a Face,FALSE,7.5,130
FALSE,"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",15000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",9431,tt0117826,en,Bordello of Blood,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current.",3.450402,/k3DDcdfIfwKubjcFWqIkVL7cQFC.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Tales From The Crypt Holdings', 'id': 69626}, {'name': 'Universal City Studios', 'id': 69627}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",16-08-1996,5600000,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",Released,,Bordello of Blood,FALSE,5,63
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",124619,tt0113695,en,Lotto Land,"This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involved in drugs) who falls in love with a latino girl (who is heading off to college on a full scholarship). The second is about their parents, (she works in the neighborhood liquor store; he works for the phone company). The story takes place against the backdrop of a winning lottery ticket worth $27 million being sold to someone in the neighborhood from the liquor store.",0.042365,/rOaGqpWX3G5xX9mZNt2v23gvxsc.jpg,[],[],01-06-1995,0,87,[],Released,,Lotto Land,FALSE,7,1
FALSE,,0,[],297645,tt0108227,en,The Story of Xinghua,"This Chinese melodrama presents an allegory tinged with feminism with itâ€™s portrayal of life and free enterprise in a modern, liberalized Chinese mountain village. Wanglai is the shady town grocer who steals stones from the Great Wall to sell as souvenirs.",0.001652,/z5XSFR7szHfCKrJ6zzJ5814IyfL.jpg,[],[],30-03-1994,0,90,"[{'iso_639_1': 'zh', 'name': 'æ™®é€šè¯'}]",Released,,The Story of Xinghua,FALSE,0,0
FALSE,,0,[],48144,tt0111424,zh,å¤©åœ‹é€†å­,,0.076062,/loQea7CiBv6VevsU70vGpqj6AQM.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",01-01-1994,0,99,"[{'iso_639_1': 'zh', 'name': 'æ™®é€šè¯'}]",Released,,The Day the Sun Turned Cold,FALSE,7,2
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",46986,tt0113080,en,Flirt,"The same situation is played out in different cities (New York, Berlin and Japan). A lover has to choose whether to commit to a partner who is returning home. In each case there are other people involved, an ex-partner and someone else in a ""permanent"" relationship, what do they choose to do?",1.663948,/AhXeYGLQOgJWuZehZyAUGt8HLrT.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",14-09-1995,0,85,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}]",Released,,Flirt,FALSE,7.5,4
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",144982,tt0115680,en,The Big Squeeze,"Benny, a hapless grifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settlement that will solve all their financial woes. But when it comes, he refuses to share it with her, claiming with newfound piety that money is the root of all evil. She then enlists the help of Benny to concoct a scheme to get her fair share of the settlement, and he finds one: a local Catholic mission needs money for repairs and Benny decides to create a miracle that will encourage husband Henry to fork over the money - which Benny and Tanya will intercept and share.",0.404501,/iodaTExr7qKBqmQD7ydIP1kK3Ey.jpg,"[{'name': 'Zeta Entertainment', 'id': 5333}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",06-09-1996,0,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Big Squeeze,FALSE,5,1
FALSE,,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",47907,tt0117718,en,The Spitfire Grill,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire Grill. Percy brings change to the small town, stirring resentment and fear in some, and growth in others.",1.19589,/kYSj97p75T0HD2RdSa4QpJbxAA9.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23-08-1996,12643776,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"To a town with no future, comes a girl with a past.",The Spitfire Grill,FALSE,6.8,17
FALSE,"{'id': 115838, 'name': 'Escape From ... Collection', 'poster_path': '/8Zih8QGPJNXUuws0fIZmjxjs2Su.jpg', 'backdrop_path': '/c9mWaF2oeodriDLqYQr425sasxo.jpg'}",50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",10061,tt0116225,en,Escape from L.A.,"This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",12.229381,/rAjz6XFC6Zs07oraJSnajbaAbG9.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Rysher Entertainment', 'id': 11661}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",09-08-1996,42277365,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Snake Is Back.,Escape from L.A.,FALSE,5.6,381
FALSE,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",36266,tt0112767,vi,XÃ­ch lÃ´,Follows a young cyclo (bicycle cab) driver on his poverty-driven descent into criminality in modern-day Ho Chi Minh City. The boy's struggles to scratch out a living for his two sisters and grandfather in the mean streets of the city lead to petty crime on behalf of a mysterious Madame from whom he rents his cyclo.,1.781952,/mdOsnSVTLwHMEH1juOLMiwXcO5o.jpg,"[{'name': 'Cofimage 5', 'id': 1871}, {'name': 'Canal+', 'id': 5358}, {'name': 'Les Productions Lazennec', 'id': 5869}, {'name': 'SociÃ©tÃ© FranÃ§aise de Production (SFP)', 'id': 6849}, {'name': 'LumiÃ¨re', 'id': 11793}, {'name': 'La Sept CinÃ©ma', 'id': 16366}, {'name': 'Centre National de la CinÃ©matographie (CNC)', 'id': 18367}, {'name': 'Salon Films', 'id': 21331}, {'name': 'Cofimage 6', 'id': 78239}, {'name': 'Giai Phong Film Studio', 'id': 78240}]","[{'iso_3166_1': 'VN', 'name': 'Vietnam'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'FR', 'name': 'France'}]",01-01-1995,0,123,"[{'iso_639_1': 'vi', 'name': 'Tiáº¿ng Viá»‡t'}]",Released,,Cyclo,FALSE,6.8,23
FALSE,,2962051,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",549,tt0115632,en,Basquiat,"Director Julian Schnabel illustrates the portrait of his friend, the first African-American Pop artist Jean-Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Alongside the biography of Basquiat are the artists and the art scene from early 1980â€™s New York.",4.797674,/8hA5Fp1tl1MTKHfek8xgOmPDmrJ.jpg,"[{'name': 'Miramax', 'id': 53009}, {'name': 'Eleventh Street Production', 'id': 93380}, {'name': 'Jon Kilik', 'id': 93381}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",09-08-1996,3011195,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",Released,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History.",Basquiat,FALSE,6.6,97
FALSE,,45000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10478,tt0117918,en,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,6.24966,/dS5OwlFbIy5nQMaY9B4gWLe5a05.jpg,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",16-08-1996,53854588,135,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Golf Pro. Love Amateur.,Tin Cup,FALSE,5.9,152
FALSE,,200000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",66634,tt0104109,en,Dingo,"Young John Anderson is captivated by jazz musician, Billy Cross when he performs on the remote airstrip of his Western Australian outback hometown after his plane is diverted. Years later, now a family man and making a meagre living tracking dingoes and playing trumpet in a local band, John still dreams of joining Billy on trumpet and makes a pilgrimage to Paris.",0.124273,/aLPAqR2AckHSiS1v6JElHjeoY9V.jpg,"[{'name': 'Vertigo Productions', 'id': 2756}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'FR', 'name': 'France'}]",02-06-1991,300000,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Truth is magic...It makes dreams come true.,Dingo,FALSE,6,1
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",116690,tt0051980,ja,æ¥¢å±±ç¯€è€ƒ,"In Kabuki style, the film tells the story of a remote mountain village where the scarcity of food leads to a voluntary but socially-enforced policy in which relatives carry 70-year-old family members up Narayama mountain to die. Granny Orin is approaching 70, content to embrace her fate. Her widowed son Tatsuhei cannot bear losing his mother, even as she arranges his marriage to a widow his age. Her grandson Kesa, who's girlfriend is pregnant, is selfishly happy to see Orin die. Around them, a family of thieves are dealt with severely, and an old man, past 70, whose son has cast him out, scrounges for food. Will Orin's loving and accepting spirit teach and ennoble her family?",0.969254,/AtWBZYDH5UxOqod0cxqFZ9RqWK8.jpg,"[{'name': 'Shochiku Company', 'id': 4641}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",01-06-1958,0,98,"[{'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}]",Released,,The Ballad of Narayama,FALSE,6.4,12
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",213917,tt0100840,fr,Un week-end sur deux,"Camille, a mercurial CÃ©sar-winning actress, has seen better times. Estranged from her husband, she's with her children only every other weekend. It's her weekend, but her agent has booked her to MC a Rotary club dinner in Vichy. She takes them with her, and when her husband learns this, he demands to pick them up at once. She bolts in a rented car to the seaside, trying to improve her relations with the children, especially the precocious and distant Vincent. He loves astronomy. A rare meteor shower is due in a few days, so she suggests they go to a plateau in Spain hoping to see it. He agrees, but the relationship remains difficult, and her husband is on their trail.",0.629807,/oCNfIlM8cbj2oMlBzSRUGx8TF8.jpg,"[{'name': 'MK2 Production', 'id': 6274}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",28-08-1990,0,104,"[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Released,,Every Other Weekend,FALSE,6,2
FALSE,,0,[],145925,tt0107575,it,Mille bolle blu,,0.03537,/o3Ch0aryLCV3khmQXPEWUhMR03k.jpg,[],[],01-01-1993,0,0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Mille bolle blu,FALSE,6,1
FALSE,,0,[],100914,tt0042054,en,Wuya yu maque,"At a Shanghai apartment, Mr Hou, a Nationalist official, gets ready to move to Taiwan upon the imminent defeat of the KMT during the Civil War. Mrs Hou gives an ultimatum to the rest of the tenants to move out on behalf of her husband, who is the ""owner"" of the flat and who is now planning to sell it. From the conversations with the rest, we find out that Hou has been a Hanjian during the Sino-Japanese War and that he has since taken over the apartment by force from the old landlord, Mr Kong.  The tenants, including Mr Kong, Mrs Xiao, Little Broadcast (alias Mr Xiao, played by Zhao Dan) and a schoolteacher, Mr Hua, and his wife, initially plan to band together, but circumstances force them to find other ways out. Mr Hua tries to find a place to stay at the KMT-sponsored school he is teaching in. Little Broadcast and Mrs Xiao invest in black market gold. As the situation escalates, Mr Hua gets arrested by KMT agents and his young daughter falls desperately ill.",0.036478,/chz5wJezJZVsMZZXPATxwKwv6Wc.jpg,[],[],01-01-1949,0,113,[],Released,,Crows and Sparrows,FALSE,5,1
FALSE,"{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'}",6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Alfran Productions', 'id': 10211}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",14-03-1972,245066411,175,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,An offer you can't refuse.,The Godfather,FALSE,8.5,6024
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",159,tt0109255,de,Der bewegte Mann,"Der Bewegte Mann is a German comedy about a heterosexual man, Axel, who is thrown out of his girlfriends home for cheating and ends up moving in with a gay man. Axel learns the advantages of living with gay men even though they are attracted to him and when his girlfriend wants him back he must make a tough decision.",8.593319,/7UEzKYus31qTtyGDftRhao7kxbb.jpg,"[{'name': 'Constantin Film', 'id': 47}, {'name': 'Olga-Film GmbH (MÃ¼nchen)', 'id': 99}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",05-10-1994,0,90,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Maybe... Maybe Not,FALSE,6.1,34
FALSE,"{'id': 269098, 'name': 'Police Story Collection', 'poster_path': '/zF4gP4w1xxM7jDKLjTDK3ixkkms.jpg', 'backdrop_path': '/5qbfJzkMAUkFxcVo0dqnTRmpUoh.jpg'}",900000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",11134,tt0104558,cn,è­¦å¯Ÿæ•…äº‹ IIIï¼šè¶…ç´šè­¦å¯Ÿ,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,6.751864,/entsYeDr0LVMqWnnmu7CDGZA1fx.jpg,"[{'name': 'Golden Harvest Company', 'id': 2521}, {'name': 'Golden Way Films Ltd.', 'id': 3054}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",04-07-1992,20483423,95,"[{'iso_639_1': 'cn', 'name': 'å¹¿å·žè¯ / å»£å·žè©±'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ms', 'name': 'Bahasa melayu'}, {'iso_639_1': 'th', 'name': 'à¸ à¸²à¸©à¸²à¹„à¸—à¸¢'}]",Released,"There's never a cop around when you need one, but when this cop's around, all you need is one.",Police Story 3: Supercop,FALSE,6.7,109
FALSE,,500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",88224,tt0116985,en,Manny & Lo,A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.,1.143656,/rd5k8iDiuNAZTPTfJZn0rQ3PtYl.jpg,"[{'name': 'Pope Productions', 'id': 2974}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",22-01-1996,431326,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Manny & Lo,FALSE,6.3,9
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",132641,tt0046468,ja,Tsuma,"Ten years into a marriage, the wife is disappointed by the husband's lack of financial success, meaning she has to work and can't treat herself and the husband finds the wife slovenly and mean-spirited: she neither cooks not cleans particularly well and is generally disagreeable. In turn, he alternately ignores her and treats her as a servant. Neither is particularly happy, not helped by their unsatisfactory lodgers. The husband is easily seduced by an ex-colleague, a widow with a small child who needs some security, and considers leaving his wife.",0.096079,/z9WiHt5uQjs8L8tyBpRBKzlheF2.jpg,"[{'name': 'Toho Company', 'id': 882}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",29-04-1953,0,89,"[{'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}]",Released,,Wife,FALSE,0,0
FALSE,,1850000,[],42758,tt0114474,en,Small Faces,"Three teenage brothers, gang-member Bobby, troubled mama's boy Alan and self-assured prankster Lex, reside in a downtrodden section of Glasgow, Scotland, circa 1968. But while Bobby and Alan are beginning to experience the power of raging hormones, the story focuses on Lex, who begins a downward spiral after he accidentally shoots the leader of Bobby's gang. Lex's cockiness and immaturity unfortunately prevent him from understanding the effect his subsequent crimes will have on both himself, and on those around him.",0.90913,/s9I3gLu9ySsfyM3JvlpSW9KrszF.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",05-04-1996,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You are now entering Tongland,Small Faces,FALSE,6.4,10
FALSE,,4500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",9303,tt0115736,en,Bound,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser.",12.449574,/xfITNjW2sunPiB7BNotJJsCxhdA.jpg,"[{'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Spelling Films', 'id': 10355}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",13-09-1996,7011317,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In their world, you can't buy freedom, but you can steal it.",Bound,FALSE,6.9,203
FALSE,,17000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",23945,tt0115836,en,Carpool,"A man with an important business meeting finds himself having to take care of the carpool for the neighborhood school children when his wife gets sick. Stopping to get donuts for the kids, things go even more awry when he finds himself a victim of a robbery. However, the situation only gets worse as a desperate man who had been contemplating a bank robbery robs the robbers and takes the man and the kids hostage in their van as his truck is blocked by an armored car. The thing then proceeds into a comedic chase movie. The father finds his kids don't really respect him and they react better to the robber. The end result is everyone gets a lifestyle change, including the original store owner.",3.714049,/iF3exraajWgTwBXtjMKwfdyPXOj.jpg,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23-08-1996,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A dad in a hurry. A man on the run. And five kids with an attitude.,Carpool,FALSE,4.9,17
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",37820,tt0101692,en,Death in Brunswick,"A reserved man in need of a job, Carl Fitzgerald finds employment at a Greek restaurant. Upon meeting waitress Sophie, Carl begins dating the attractive woman. Though it seems things are improving for Carl, an unexpected situation leads to the death of Mustafa, a shady coworker, and Carl must figure out how to cover up the incident. Unsure of what to do, Carl enlists the help of his buddy, Dave, to get rid of Mustafa's corpse.",0.913987,/7vVBRhrvn4qZDDdaLLE3QRfHVIL.jpg,"[{'name': 'Australian Film Finance Corporation (AFFC)', 'id': 8724}, {'name': 'Film Victoria', 'id': 11840}, {'name': 'Meridian Films', 'id': 31317}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",08-11-1990,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Carl Fitzgerald has decided to clean up his act... but first he has to get rid of the body.,Death in Brunswick,FALSE,6.1,7
